date,ticker,p945
2026-08-17,TD.TO,172.8400
2026-08-17,BNS.TO,127.1600
2026-08-17,BMO.TO,258.1100
2026-08-17,CM.TO,171.9800
2026-08-17,ENB.TO,70.4500
2026-08-17,TRP.TO,87.8400
2026-08-17,CNQ.TO,67.0200
2026-08-17,SU.TO,91.9100
2026-08-17,CVE.TO,43.7300
2026-08-17,CP.TO,129.7500
2026-08-17,CNR.TO,175.8300
2026-08-17,SHOP.TO,208.2600
2026-08-17,ABX.TO,58.1200
2026-08-17,AEM.TO,260.4000
2026-08-17,NTR.TO,95.0000
2026-08-17,MFC.TO,61.6000
2026-08-17,SLF.TO,112.7400
2026-08-17,BCE.TO,32.6500
2026-08-17,T.TO,13.5700
2026-08-18,AC.TO,30.0400
2026-08-18,RY.TO,297.8600
2026-08-18,TD.TO,171.1600
2026-08-18,BNS.TO,125.8000
2026-08-18,BMO.TO,255.4500
2026-08-18,CM.TO,170.1150
2026-08-18,ENB.TO,71.1800
2026-08-18,TRP.TO,88.8850
2026-08-18,CNQ.TO,68.8700
2026-08-18,SU.TO,93.2500
2026-08-18,CVE.TO,44.7600
2026-08-18,CP.TO,130.6000
2026-08-18,CNR.TO,176.7400
2026-08-18,SHOP.TO,206.6600
2026-08-18,ABX.TO,58.8000
2026-08-18,AEM.TO,261.2700
2026-08-18,NTR.TO,95.9850
2026-08-18,MFC.TO,61.3600
2026-08-18,SLF.TO,111.8000
2026-08-18,BCE.TO,32.7600
2026-08-18,T.TO,13.5800
2026-08-19,AC.TO,29.6500
2026-08-19,RY.TO,294.2000
2026-08-19,TD.TO,168.5000
2026-08-19,BNS.TO,124.5300
2026-08-19,BMO.TO,250.8900
2026-08-19,CM.TO,168.1000
2026-08-19,ENB.TO,71.0100
2026-08-19,TRP.TO,88.0500
2026-08-19,CNQ.TO,69.2700
2026-08-19,SU.TO,95.3000
2026-08-19,CVE.TO,45.4900
2026-08-19,CP.TO,131.3500
2026-08-19,CNR.TO,178.1500
2026-08-19,SHOP.TO,205.3500
2026-08-19,ABX.TO,61.9800
2026-08-19,AEM.TO,278.9100
2026-08-19,NTR.TO,98.5500
2026-08-19,MFC.TO,60.6400
2026-08-19,SLF.TO,110.8900
2026-08-19,BCE.TO,32.5700
2026-08-19,T.TO,13.5700
