Code,Name,Type,Currency,Isin
FCU,Fission Uranium Corp,Common Stock,CAD,CA33812R1091
FCUL,Fidelity U.S. Low Volatility Index ETF,ETF,CAD,CA31647B1094
FCW,First Asset Cmbrdg Glbl Div ETF CAD H,ETF,CAD,
FCY,First Asset Cambridge Core US Eq ETF Hdg,ETF,CAD,
FCY-B,First Asset Cambridge Core U.S. Equity ETF,ETF,CAD,
FDE,First Trust AlphaDEX Emerging Market Dividend CAD Hedged Common,ETF,CAD,CA33737G1054
FDE-A,First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged),ETF,CAD,
FDGE,Farmers Edge Inc,Common Stock,CAD,CA30957Q1028
FDV,CI Active Canadian Dividend ETF,ETF,CAD,CA12554Q1072
FEME,Forstrong Emerging Markets Equity ETF,ETF,CAD,
FFH-PC,Fairfax Fin Hld Cum 5 Yr C Prf,Preferred Stock,CAD,CA3039015084
FFH-PD,Fairfax Financial Holdings Ltd Pref D,Preferred Stock,CAD,CA3039016074
FFH-PE,Fairfax Financial Holdings Ltd Pref E,Preferred Stock,CAD,CA3039018880
FFH-PF,Fairfax Financial Holdings Ltd Pref F,Preferred Stock,CAD,CA3039018708
FFH-PG,Fairfax Fin Hld Cum 5 Yr Rt G Prf,Preferred Stock,CAD,CA3039018625
FFH-PH,Fairfax Financial Holdings Ltd Pref H,Preferred Stock,CAD,CA3039018542
FFH-PI,Fairfax Financial Holdings Ltd Pref I,Preferred Stock,CAD,CA3039018476
FFH-PJ,Fairfax Financial Holdings Ltd Pref J,Preferred Stock,CAD,CA3039018393
FFH-PM,Fairfax Financial Holdings Ltd Pref M,Preferred Stock,CAD,CA3039017973
FFH-U,FFH-U,Common Stock,USD,
FFI-UN,Flaherty & Crumrine Investment Grade Preferred Income Fund,ETF,CAD,
FGAA-U,FG Acquisition Corp.,Common Stock,USD,
FGAA-V,FG Acquisition Corp.,Common Stock,USD,
FGB,CI Short Term Government Bond Index Class ETF,ETF,CAD,CA17163X1042
FGBL,Forstrong Global Balanced ETF,ETF,CAD,
FGE,Fortress Global Enterprises Inc,Common Stock,CAD,
FGGE,Franklin Global Growth Fund Series ETF,ETF,CAD,CA3535471021
FGSG,Franklin Martin Currie Sustainable Global Equity Active ETF,ETF,CAD,CA35384L1058
FGX,Faircourt Gold Income Corp,Common Stock,CAD,
FHB,CI CI First Asset European Bank ETF Common,ETF,CAD,CA12556G1072
FHC,First Trust Dow Jones Internet ETF,ETF,CAD,CA33739W1086
FHD,First Trust NASDAQ Cybersecurity ETF,ETF,CAD,CA33739V1004
FHE,First Trust Indxx NextG ETF,ETF,CAD,CA33732G1000
FHF,First Trust Nasdaq Clean Edge Green Energy ETF,ETF,CAD,CA33732J1049
