kind,cik,date,name,sic,accession,ticker
APPROVAL,882095,2020-10-23,GILEAD SCIENCES INC  (GILD),2836,0001104659-20-117765,GILD
APPROVAL,1479419,2020-10-27,"Kala Pharmaceuticals, Inc.  (KALA)",2834,0001558370-20-011765,KALA
APPROVAL,318154,2020-10-28,AMGEN INC  (AMGN),2836,0000318154-20-000058,AMGN
APPROVAL,1444307,2020-10-29,ONCOSEC MEDICAL Inc  (ONCSQ),2834,0001493152-20-020139,
APPROVAL,1597264,2020-10-29,Blueprint Medicines Corp  (BPMC),2834,0001558370-20-011983,
APPROVAL,1337553,2020-11-05,AERIE PHARMACEUTICALS INC,2836,0001628280-20-015730,
APPROVAL,1739104,2020-11-06,Elanco Animal Health Inc  (ELAN),2834,0001104659-20-122127,ELAN
CRL,1429260,2020-11-09,"Fortress Biotech, Inc.  (FBIO, FBIOP)",2834,0001104659-20-123101,FBIOP
APPROVAL,875622,2020-11-09,BIOSPECIFICS TECHNOLOGIES CORP,2834,0001193125-20-288539,
CRL,1356576,2020-11-10,"SUPERNUS PHARMACEUTICALS, INC.  (SUPN)",2834,0001356576-20-000079,SUPN
APPROVAL,1664710,2020-11-10,"Keros Therapeutics, Inc.  (KROS)",2834,0001664710-20-000051,KROS
APPROVAL,1802665,2020-11-12,"Harmony Biosciences Holdings, Inc.  (HRMY)",2834,0001193125-20-291093,HRMY
CRL,887247,2020-11-16,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001387131-20-010040,
CRL,1520262,2020-11-17,Alkermes plc.  (ALKS),2834,0001564590-20-054254,ALKS
APPROVAL,1339469,2020-11-18,"CHIASMA, INC",2834,0001193125-20-296516,
APPROVAL,1521036,2020-11-18,"Lantheus Holdings, Inc.  (LNTH)",2835,0001193125-20-296976,LNTH
APPROVAL,1710340,2020-11-24,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001832154-20-000004,ETON
APPROVAL,1722964,2020-11-25,"Y-mAbs Therapeutics, Inc.  (YMAB)",2834,0001104659-20-129664,
APPROVAL,1597264,2020-12-01,Blueprint Medicines Corp  (BPMC),2834,0001558370-20-014130,
APPROVAL,1659617,2020-12-01,"Moleculin Biotech, Inc.  (MBRX)",2834,0001437749-20-024647,MBRX
APPROVAL,1347178,2020-12-02,Vanda Pharmaceuticals Inc.  (VNDA),2834,0001193125-20-307818,VNDA
APPROVAL,875622,2020-12-02,BIOSPECIFICS TECHNOLOGIES CORP,2834,0001193125-20-307955,
APPROVAL,882796,2020-12-04,BIOCRYST PHARMACEUTICALS INC  (BCRX),2836,0001171843-20-008353,BCRX
CRL,1604950,2020-12-07,scPharmaceuticals Inc.  (SCPH),2834,0001193125-20-311231,
APPROVAL,1535955,2020-12-09,Lipocine Inc.  (LPCN),2834,0001104659-20-133331,LPCN
APPROVAL,1087294,2020-12-10,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-20-017370,CPIX
APPROVAL,1759425,2020-12-10,"Mirum Pharmaceuticals, Inc.  (MIRM)",2834,0001564590-20-056643,MIRM
APPROVAL,925741,2020-12-14,"BioCardia, Inc.  (BCDA)",2836,0001437749-20-025263,BCDA
APPROVAL,1125345,2020-12-16,MACROGENICS INC  (MGNX),2834,0001125345-20-000160,MGNX
APPROVAL,1503802,2020-12-18,Karyopharm Therapeutics Inc.  (KPTI),2834,0001193125-20-321067,KPTI
APPROVAL,1722964,2020-12-18,"Y-mAbs Therapeutics, Inc.  (YMAB)",2834,0001104659-20-137194,
APPROVAL,1439222,2020-12-21,"AGIOS PHARMACEUTICALS, INC.  (AGIO)",2834,0001193125-20-322280,AGIO
APPROVAL,1355250,2020-12-22,Innovation Pharmaceuticals Inc.  (IPIX),2834,0001477932-20-007426,
APPROVAL,1740547,2020-12-23,Urovant Sciences Ltd.,2834,0001193125-20-325982,
CRL,1739426,2020-12-29,Osmotica Pharmaceuticals plc  (RVLPQ),2834,0001104659-20-140206,
APPROVAL,1339469,2021-01-06,"CHIASMA, INC",2834,0001193125-21-003177,
APPROVAL,1643301,2021-01-06,Cure Pharmaceutical Holding Corp.  (AVRW),2834,0001477932-21-000047,
APPROVAL,1446847,2021-01-11,IRONWOOD PHARMACEUTICALS INC  (IRWD),2834,0001104659-21-002706,IRWD
APPROVAL,1082554,2021-01-13,UNITED THERAPEUTICS Corp  (UTHR),2834,0001104659-21-003903,UTHR
APPROVAL,1600620,2021-01-25,Aurinia Pharmaceuticals Inc.  (AUPH),2834,0001628280-21-000758,AUPH
APPROVAL,887247,2021-01-28,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001387131-21-001362,
APPROVAL,1082038,2021-02-02,DURECT CORP  (DRRX),2834,0001564590-21-003678,
APPROVAL,318154,2021-02-02,AMGEN INC  (AMGN),2836,0000318154-21-000005,AMGN
CRL,827871,2021-02-02,"EAGLE PHARMACEUTICALS, INC.  (EGRX)",2834,0001104659-21-010565,
APPROVAL,882796,2021-02-03,BIOCRYST PHARMACEUTICALS INC  (BCRX),2836,0001171843-21-000698,BCRX
